keyword,reason,score
registration fee,Registration Fee Scam,30
pay fee,Payment Scam,25
upi,UPI Scam,20
whatsapp only,Unofficial Communication,15
telegram only,Unofficial Platform,15
instant joining,Too Fast Hiring,15
no interview,No Interview Scam,20
guaranteed placement,False Promise,25
training fee,Training Scam,20
certificate after payment,Certificate Scam,20
security deposit,Deposit Scam,25
offer letter fee,Offer Scam,25
government approved internship,Fake Govt Claim,25
aicte certificate,Fake AICTE Claim,20
click link to apply,Phishing Attempt,20
google form only,No Official Website,15

